Position,QB1,RB1,RB2,TE1,TE2,WR1,WR2,WR3,D1,QB1op,RB1op,RB2op,RB3op,TE1op,TE2op,WR1op,WR2op,WR3op,D1op
QB1,1,-0.00241356,0.05004649,0.29125442,0.26358923,0.330890352,0.434318403,0.225922465,-0.076527033,0.278930935,-0.011718712,-0.065713655,0.08006722,0.141985554,0.033031432,0.15197787,0.129051573,0.129394454,-0.437594361
RB1,-0.00241356,1,-0.24041226,0.072764895,-0.095595633,-0.05838016,0.039244687,-0.101487144,-0.034190009,-0.011718712,-0.046568427,-0.004942189,0.056746448,0.013411212,-0.051571359,0.025501446,-0.094341291,0.025789201,0.237898299
RB2,0.05004649,-0.24041226,1,0.190358937,-0.069776233,-0.046666658,0.03172841,0.068774358,0.058752387,-0.065713655,-0.004942189,-0.03947272,-0.100196431,-0.001215509,-0.000762826,-0.044997788,0.027434093,-0.027580053,-0.308623802
RB3,0.136892413,-0.003633601,-0.126757545,0.043716566,-0.025489519,0.039509855,0.068331212,-0.161457184,0.081970745,0.08006722,0.056746448,-0.100196431,-0.006403704,0.152236735,-0.094634562,0.047081368,-0.015496082,-0.045864526,-0.231375097
TE1,0.29125442,0.072764895,0.190358937,1,-0.137384228,0.072580136,0.079785187,0.040098189,-0.026731954,0.141985554,0.013411212,-0.001215509,0.152236735,0.24173806,-0.016051759,0.133038932,0.147613665,0.133514995,-0.124685408
TE2,0.26358923,-0.095595633,-0.069776233,-0.137384228,1,0.002121835,0.001819351,0.054089183,-0.068112791,0.033031432,-0.051571359,-0.000762826,-0.094634562,-0.016051759,0.085315178,0.013830256,-0.02766862,-0.023885516,-0.177188636
WR1,0.330890352,-0.05838016,-0.046666658,0.072580136,0.002121835,1,0.028347552,0.08143405,-0.116526085,0.15197787,0.025501446,-0.044997788,0.047081368,0.133038932,0.013830256,0.189197626,0.070636683,0.041386089,-0.07771577
WR2,0.434318403,0.039244687,0.03172841,0.079785187,0.001819351,0.028347552,1,0.133067033,-0.091557812,0.129051573,-0.094341291,0.027434093,-0.015496082,0.147613665,-0.02766862,0.070636683,0.065839783,0.131428841,-0.201413557
WR3,0.225922465,-0.101487144,0.068774358,0.040098189,0.054089183,0.08143405,0.133067033,1,-0.003950738,0.129394454,0.025789201,-0.027580053,-0.045864526,0.133514995,-0.023885516,0.041386089,0.131428841,-0.198162806,-0.140055908
D1,-0.076527033,-0.034190009,0.058752387,-0.026731954,-0.068112791,-0.116526085,-0.091557812,-0.003950738,1,-0.437594361,0.237898299,-0.308623802,-0.231375097,-0.124685408,-0.177188636,-0.07771577,-0.201413557,-0.140055908,-0.248495189
QB1op,0.278930935,-0.011718712,-0.065713655,0.141985554,0.033031432,0.15197787,0.129051573,0.129394454,-0.437594361,1,-0.00241356,0.05004649,0.136892413,0.29125442,0.26358923,0.330890352,0.434318403,0.225922465,-0.076527033
RB1op,-0.011718712,-0.046568427,-0.004942189,0.013411212,-0.051571359,0.025501446,-0.094341291,0.025789201,0.237898299,-0.00241356,1,-0.24041226,-0.003633601,0.072764895,-0.095595633,-0.05838016,0.039244687,-0.101487144,-0.034190009
RB2op,-0.065713655,-0.004942189,-0.03947272,-0.001215509,-0.000762826,-0.044997788,0.027434093,-0.027580053,-0.308623802,0.05004649,-0.24041226,1,-0.126757545,0.190358937,-0.069776233,-0.046666658,0.03172841,0.068774358,0.058752387
RB3op,0.08006722,0.056746448,-0.100196431,0.152236735,-0.094634562,0.047081368,-0.015496082,-0.045864526,-0.231375097,0.136892413,-0.003633601,-0.126757545,1,0.043716566,-0.025489519,0.039509855,0.068331212,-0.161457184,0.081970745
TE1op,0.141985554,0.013411212,-0.001215509,0.24173806,-0.016051759,0.133038932,0.147613665,0.133514995,-0.124685408,0.29125442,0.072764895,0.190358937,0.043716566,1,-0.137384228,0.072580136,0.079785187,0.040098189,-0.026731954
TE2op,0.033031432,-0.051571359,-0.000762826,-0.016051759,0.085315178,0.013830256,-0.02766862,-0.023885516,-0.177188636,0.26358923,-0.095595633,-0.069776233,-0.025489519,-0.137384228,1,0.002121835,0.001819351,0.054089183,-0.068112791
WR1op,0.15197787,0.025501446,-0.044997788,0.133038932,0.013830256,0.189197626,0.070636683,0.041386089,-0.07771577,0.330890352,-0.05838016,-0.046666658,0.039509855,0.072580136,0.002121835,1,0.028347552,0.08143405,-0.116526085
WR2op,0.129051573,-0.094341291,0.027434093,0.147613665,-0.02766862,0.070636683,0.065839783,0.131428841,-0.201413557,0.434318403,0.039244687,0.03172841,0.068331212,0.079785187,0.001819351,0.028347552,1,0.133067033,-0.091557812
WR3op,0.129394454,0.025789201,-0.027580053,0.133514995,-0.023885516,0.041386089,0.131428841,-0.198162806,-0.140055908,0.225922465,-0.101487144,0.068774358,-0.161457184,0.040098189,0.054089183,0.08143405,0.133067033,1,-0.003950738
D1op,-0.437594361,0.237898299,-0.308623802,-0.124685408,-0.177188636,-0.07771577,-0.201413557,-0.140055908,-0.248495189,-0.076527033,-0.034190009,0.058752387,0.081970745,-0.026731954,-0.068112791,-0.116526085,-0.091557812,-0.003950738,1
